,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03126077651977539,0.001392392486460874,0.003606843948364258,0.0009360215812792209,1,10,5,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 5}",0.375,0.3125,0.275,0.3125,0.35,0.325,0.03446012188022554,11049
1,0.03780264854431152,0.0028035932839123347,0.00407114028930664,0.0011863041288620215,1,10,6,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 6}",0.35,0.2875,0.3125,0.3,0.35,0.32,0.0257390753524675,11279
2,0.03830103874206543,0.0009350730155700734,0.0040187835693359375,0.0006949336632591021,1,10,7,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 7}",0.3375,0.3625,0.3125,0.3125,0.3625,0.3375,0.022360679774997894,10526
3,0.04224028587341309,0.002167238609975525,0.003785848617553711,0.00018111509378497854,1,10,8,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 8}",0.3375,0.3,0.2875,0.3125,0.3625,0.31999999999999995,0.026925824035672525,11323
4,0.04521255493164063,0.0013055674205380654,0.003957891464233398,0.00015524067709783514,1,10,9,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 9}",0.3,0.3625,0.3,0.3125,0.325,0.31999999999999995,0.02318404623873926,11323
5,0.04891715049743652,0.002423010338986967,0.004222345352172851,0.0001296520496212651,1,10,10,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 10}",0.2875,0.3625,0.3,0.3,0.325,0.315,0.026692695630078284,11407
6,0.05495576858520508,0.0032522873496521835,0.004178476333618164,0.0005839742815065812,1,10,11,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 11}",0.275,0.3625,0.3,0.3125,0.3625,0.3225,0.034820970692960286,11177
7,0.0583594799041748,0.002139215855846003,0.00477132797241211,0.00028667379361419165,1,10,12,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 12}",0.275,0.3375,0.3,0.2875,0.3375,0.3075,0.02573907535246751,11462
8,0.06758990287780761,0.004643385346327656,0.005256366729736328,0.0007331286468635257,1,10,13,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 13}",0.35,0.3625,0.3375,0.3,0.3375,0.3375,0.02091650066335189,10526
9,0.06862945556640625,0.0029040059009756173,0.004825496673583984,0.0008480637348540235,1,10,14,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 14}",0.3125,0.35,0.3375,0.3,0.3875,0.3375,0.030618621784789732,10526
10,0.07379179000854492,0.002782445893498845,0.005920028686523438,0.0003981437394639331,1,10,15,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 15}",0.325,0.325,0.3375,0.3,0.3625,0.33,0.020310096011589902,10736
11,0.07802934646606445,0.0037133970455528265,0.005957603454589844,0.00042654910882718275,1,10,16,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 16}",0.3125,0.325,0.3375,0.3,0.375,0.32999999999999996,0.025739075352467507,10754
12,0.08100547790527343,0.0022426146916071587,0.005806064605712891,0.00012061214884002497,1,10,17,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 17}",0.325,0.325,0.35,0.3,0.3625,0.3325,0.021794494717703363,10645
13,0.08888435363769531,0.0014355252062546245,0.006723213195800781,0.00035435416075930157,1,10,18,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 18}",0.3125,0.325,0.3625,0.3125,0.35,0.3325,0.020310096011589892,10645
14,0.09151644706726074,0.0018661800504512127,0.00708303451538086,0.0013668761882800757,1,10,19,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 19}",0.325,0.325,0.35,0.325,0.35,0.33499999999999996,0.012247448713915874,10615
15,0.09412927627563476,0.0020154191332894243,0.0070857048034667965,0.0007331417533294586,1,10,20,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 20}",0.325,0.3625,0.3625,0.325,0.35,0.34500000000000003,0.016955824957813156,10434
16,0.1013185977935791,0.0016675025079780977,0.007071828842163086,0.00024227112939895147,1,10,21,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 21}",0.3125,0.35,0.35,0.3125,0.35,0.33499999999999996,0.018371173070873825,10615
17,0.10341429710388184,0.0029667595940052575,0.008972883224487305,0.003271879247926156,1,10,22,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 22}",0.3125,0.35,0.35,0.325,0.35,0.3375,0.015811388300841885,10526
18,0.10818600654602051,0.0023873054693452573,0.007476806640625,0.0002938064566735774,1,10,23,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 23}",0.3125,0.35,0.35,0.3375,0.3375,0.3375,0.013693063937629145,10526
19,0.11532301902770996,0.0034593691030134223,0.008299732208251953,0.0010524138806720779,1,10,24,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 24}",0.3125,0.325,0.4,0.325,0.375,0.34750000000000003,0.03391164991562634,10411
20,0.12254419326782226,0.0058498899216107075,0.009287309646606446,0.0018697116445605892,1,10,25,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 25}",0.325,0.325,0.4,0.3125,0.3625,0.34500000000000003,0.03221024681681282,10434
21,0.1215291976928711,0.003216979580494384,0.008220195770263672,0.000328129661990295,1,10,26,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 26}",0.325,0.3125,0.4,0.3625,0.35,0.35,0.03061862178478973,10399
22,0.13157806396484376,0.0024113210949721618,0.009567594528198243,0.0017537957666125285,1,10,27,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 27}",0.3,0.3125,0.4,0.35,0.3875,0.35000000000000003,0.03952847075210475,10398
23,0.12936220169067383,0.004268112270133507,0.008698129653930664,0.0001678990017012697,1,10,28,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 28}",0.3,0.3125,0.4,0.325,0.3875,0.34500000000000003,0.04077376607575024,10434
24,0.13504366874694823,0.003529025291287841,0.009388494491577148,0.0008312946775613915,1,10,29,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 29}",0.3125,0.3125,0.4,0.325,0.3625,0.34249999999999997,0.03409545424246464,10468
25,0.14704771041870118,0.009152520861693188,0.009501886367797852,0.0005101409616635946,1,10,30,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 30}",0.3125,0.325,0.4,0.3125,0.3625,0.3425,0.03409545424246464,10459
26,0.14397592544555665,0.0018624848443286432,0.010762500762939452,0.0015217908351433053,1,10,31,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 31}",0.3125,0.325,0.4,0.325,0.35,0.34249999999999997,0.031224989991991994,10468
